id,date,indicator,z_value,direction,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d
KOSPI200,2026-07-02,basis_bp,2.835047776413566,1,,,
NDX,2026-07-02,asset_mgr_net,-1.5019566748739694,-1,,,
NDX,2026-07-02,oi_chg_w,-2.395239030340417,-1,,,
SPX,2026-07-02,oi_chg_w,-2.3433668337083113,-1,,,
NDX,2026-07-01,basis_bp,1.7817188580126098,1,-0.016099762322458466,,
NDX,2026-07-01,oi_chg_w,-2.5675625294247384,-1,-0.016099762322458466,,
SPX,2026-07-01,basis_bp,1.7585075583887873,1,1.3702513856905796e-06,,
SPX,2026-07-01,oi_chg_w,-2.504925506362378,-1,1.3702513856905796e-06,,
KOSPI200,2026-06-30,asset_mgr_net,1.589774028963773,1,-0.025803768794729898,,
NDX,2026-06-30,oi_chg_w,-2.7763979285182345,-1,-0.015431805882414773,,
SPX,2026-06-30,oi_chg_w,-2.700507196746908,-1,-0.0021508346187620875,,
KOSPI200,2026-06-29,asset_mgr_net,1.5445704843546504,1,0.013448770461502058,-0.09827435787481342,
KOSPI200,2026-06-29,lev_net,-2.4313533787451287,-1,0.013448770461502058,-0.09827435787481342,
NDX,2026-06-29,basis_bp,1.7736158389124215,1,0.016846475935986094,-0.01496365418685297,
NDX,2026-06-29,oi_chg_w,-3.034799575444713,-1,0.016846475935986094,-0.01496365418685297,
SPX,2026-06-29,basis_bp,1.8155827303132264,1,0.007920198981480553,0.005753707458084456,
SPX,2026-06-29,oi_chg_w,-2.9399055176771247,-1,0.007920198981480553,0.005753707458084456,
KOSPI200,2026-06-26,asset_mgr_net,-2.696693700343231,-1,-0.010208636726210973,-0.022780993640641456,
KOSPI200,2026-06-26,basis_bp,2.4058626043042213,1,-0.010208636726210973,-0.022780993640641456,
NDX,2026-06-26,basis_bp,1.5466170242899364,1,0.022546340724600933,0.023727073457701087,
NDX,2026-06-26,oi_chg_w,-3.367320816137176,-1,0.022546340724600933,0.023727073457701087,
SPX,2026-06-26,oi_chg_w,-3.2434370618473265,-1,0.011750057250389023,0.017569976773837537,
KOSPI200,2026-06-25,asset_mgr_net,1.9039964786549322,1,-0.060282639342571276,-0.05736684661142255,-0.16128322387649152
NDX,2026-06-25,basis_bp,1.962256372307524,1,-0.01094010101473819,0.02839742529975231,-0.0037740545558134775
NDX,2026-06-25,oi_chg_w,-3.8198982611515975,-1,-0.01094010101473819,0.02839742529975231,-0.0037740545558134775
SPX,2026-06-25,basis_bp,2.264189502443177,1,-0.00047165741757115853,0.01928234008975238,0.017091426015420685
SPX,2026-06-25,oi_chg_w,-3.6477140319855135,-1,-0.00047165741757115853,0.01928234008975238,0.017091426015420685
NDX,2026-06-24,basis_bp,2.155116529071477,1,0.007537964039179723,0.018983172613046495,0.020159790961247648
NDX,2026-06-24,oi_chg_w,-3.9888000008068065,-1,0.007537964039179723,0.018983172613046495,0.020159790961247648
SPX,2026-06-24,basis_bp,2.6101739609405232,1,-9.92061187945481e-05,0.011172533375891414,0.01698913079182085
SPX,2026-06-24,oi_chg_w,-3.8501346145135797,-1,-9.92061187945481e-05,0.011172533375891414,0.01698913079182085
KOSPI200,2026-06-23,asset_mgr_net,-3.2390257499187283,-1,0.03625633653627891,0.03388817432095026,0.037096164031171996
KOSPI200,2026-06-23,basis_bp,2.627889605342577,1,0.03625633653627891,0.03388817432095026,0.037096164031171996
NDX,2026-06-23,basis_bp,2.5068344348814695,1,-0.004334610558557883,-0.007804109224918587,0.03165814377162701
NDX,2026-06-23,oi_chg_w,-4.180573473609361,-1,-0.004334610558557883,-0.007804109224918587,0.03165814377162701
SPX,2026-06-23,basis_bp,2.8770373506208258,1,-0.0009829319733113406,-0.0015531876443455328,0.018179435236072683
SPX,2026-06-23,oi_chg_w,-4.08749966172835,-1,-0.0009829319733113406,-0.0015531876443455328,0.018179435236072683
NDX,2026-06-22,basis_bp,2.2967946899968292,1,-0.03294585654702542,-0.029879637951679472,-0.018859477638428546
NDX,2026-06-22,lev_net,1.7602261855339654,1,-0.03294585654702542,-0.029879637951679472,-0.018859477638428546
NDX,2026-06-22,oi_chg_w,1.7746802664619663,1,-0.03294585654702542,-0.029879637951679472,-0.018859477638428546
SPX,2026-06-22,basis_bp,2.7232519536721127,1,-0.014362785193208105,-0.015429284656037878,-0.004330358957242875
SPX,2026-06-22,oi_chg_w,2.426845547987986,1,-0.014362785193208105,-0.015429284656037878,-0.004330358957242875
KOSPI200,2026-06-19,basis_bp,2.04465435635071,1,0.01215501411461628,-0.061569874201770625,-0.06371447364814864
NDX,2026-06-18,basis_bp,-3.530553537606118,-1,-0.0019439915380098372,-0.03900945588984661,-0.04235812648393633
NDX,2026-06-18,lev_net,1.8316813909404441,1,-0.0019439915380098372,-0.03900945588984661,-0.04235812648393633
NDX,2026-06-18,oi_chg_w,1.7284153261848583,1,-0.0019439915380098372,-0.03900945588984661,-0.04235812648393633
SPX,2026-06-18,oi_chg_w,2.4280959229570294,1,-0.003705051979052687,-0.018979847131615046,-0.01953982986211744
KOSPI200,2026-06-17,oi_chg_w,1.8306813328633265,1,0.02982420234726213,0.04252030741652968,-0.033416374376310065
NDX,2026-06-17,basis_bp,-1.6693896059275575,-1,0.02477980158148685,-0.010908976491236011,-0.00777288601553261
NDX,2026-06-17,lev_net,1.9097194591752922,1,0.02477980158148685,-0.010908976491236011,-0.00777288601553261
NDX,2026-06-17,oi_chg_w,1.7071256083306383,1,0.02477980158148685,-0.010908976491236011,-0.00777288601553261
SPX,2026-06-17,basis_bp,-1.6905876385859027,-1,0.010846212235623431,-0.007363800487814043,-0.008437873136108553
SPX,2026-06-17,oi_chg_w,2.452390551825602,1,0.010846212235623431,-0.007363800487814043,-0.008437873136108553
KOSPI200,2026-06-16,oi_chg_w,2.2996567676953825,1,0.018128386049118372,0.04867288430310257,-0.050325491830370606
NDX,2026-06-16,basis_bp,-1.5689099077467343,-1,-0.009916589126613196,0.012645073545901608,-0.024962194539603022
NDX,2026-06-16,lev_net,1.9421275095773776,1,-0.009916589126613196,0.012645073545901608,-0.024962194539603022
NDX,2026-06-16,oi_chg_w,1.700296022081183,1,-0.009916589126613196,0.012645073545901608,-0.024962194539603022
SPX,2026-06-16,basis_bp,-1.5464084404485874,-1,-0.012148282108228825,-0.005133572272950193,-0.020386465924452257
SPX,2026-06-16,lev_net,-1.5406479253420584,-1,-0.012148282108228825,-0.005133572272950193,-0.020386465924452257
SPX,2026-06-16,oi_chg_w,2.4844066562034723,1,-0.012148282108228825,-0.005133572272950193,-0.020386465924452257
KOSPI200,2026-06-15,basis_bp,2.5177583266275394,1,0.023142634496346348,0.07275814917736323,0.08598356196609469
NDX,2026-06-15,basis_bp,-1.5679979507109898,-1,-0.018851184260983866,-0.004509259751279027,-0.03917802278442917
KOSPI200,2026-06-12,lev_net,1.560009285002157,1,0.0533872316699191,0.0973035343679336,0.13022333736022063
SPX,2026-06-12,basis_bp,-1.6187427705958541,-1,0.016528391294663436,-0.0015286179756012208,0.005561501823631687
KOSPI200,2026-06-11,oi_chg_w,-1.9142875847142549,-1,0.04854085129187835,0.1300810367507348,0.18488234243305146
NDX,2026-06-11,basis_bp,-1.5080426314601973,-1,0.006444623148535555,0.0177255989542362,0.03260218391021108
SPX,2026-06-11,basis_bp,-1.7181364081842276,-1,0.0050255138730570525,0.015829800800685412,0.014373270795718263
KOSPI200,2026-06-10,asset_mgr_net,-1.770534784465715,-1,0.0036019297216247637,0.1084979464111091,0.15471184562227025
KOSPI200,2026-06-10,basis_bp,1.640343998848114,1,0.0036019297216247637,0.1084979464111091,0.15471184562227025
KOSPI200,2026-06-10,iv_skew_25d,3.7924277567097913,1,0.0036019297216247637,0.1084979464111091,0.15471184562227025
KOSPI200,2026-06-10,oi_chg_w,-3.1872903554873444,-1,0.0036019297216247637,0.1084979464111091,0.15471184562227025
KOSPI200,2026-06-10,pcr_oi,1.6268589710678731,1,0.0036019297216247637,0.1084979464111091,0.15471184562227025
KOSPI200,2026-06-09,basis_bp,-2.0598679057298104,-1,-0.05124478119684572,-0.0016081645276018186,0.07603216329055207
KOSPI200,2026-06-09,iv_skew_25d,3.33728074191594,1,-0.05124478119684572,-0.0016081645276018186,0.07603216329055207
KOSPI200,2026-06-09,oi_chg_w,-4.352992751633931,-1,-0.05124478119684572,-0.0016081645276018186,0.07603216329055207
KOSPI200,2026-06-08,basis_bp,-2.9811410644734018,-1,0.09006017496249608,0.037925396531090394,0.1464088863418005
KOSPI200,2026-06-08,iv_skew_25d,3.105525374811098,1,0.09006017496249608,0.037925396531090394,0.1464088863418005
KOSPI200,2026-06-08,oi_chg_w,-2.107733642083994,-1,0.09006017496249608,0.037925396531090394,0.1464088863418005
SPX,2026-06-08,lev_net,-1.549799573127284,-1,-0.0025763939780845124,-0.0015434232427316008,0.020060150584148895
KOSPI200,2026-06-05,iv_skew_25d,2.3913711785294414,1,-0.08517987386470527,-0.053892769579497735,-0.004394689364851767
NDX,2026-06-05,lev_net,-1.5072299488420264,-1,0.01576995891959765,-0.015525123579457567,0.02342561602224058
SPX,2026-06-05,lev_net,-1.6144875022368714,-1,0.0029781310549599205,-0.0158117696850264,0.0064628122127510235
KOSPI200,2026-06-04,iv_skew_25d,2.527984175688896,1,-0.05983067064861258,-0.06245469570007822,-0.10729507959059414
KOSPI200,2026-06-04,lev_net,-2.2372758879859416,-1,-0.05983067064861258,-0.06245469570007822,-0.10729507959059414
NDX,2026-06-04,lev_net,-1.5448952942010985,-1,-0.04769205383151265,-0.04351877110109781,-0.03162446891375503
SPX,2026-06-04,lev_net,-1.6845376402304677,-1,-0.026445361894386843,-0.026061718827809832,-0.025053070409608358
NDX,2026-06-03,lev_net,-1.5871554845960478,-1,-0.005345863833036035,-0.03784538866856524,-0.06748862400355216
SPX,2026-06-03,lev_net,-1.7608601372801207,-1,0.004054961568363158,-0.01958650510341442,-0.037953677510128236
KOSPI200,2026-06-02,iv_skew_25d,2.2962153816330675,1,-0.019662741698229902,-0.15682582093900788,-0.12798902809064627
KOSPI200,2026-06-02,lev_net,-2.2115499749391194,-1,-0.019662741698229902,-0.15682582093900788,-0.12798902809064627
NDX,2026-06-02,lev_net,-1.6187869149671954,-1,-0.002914469258216257,-0.055543597375678155,-0.05140472232947069
SPX,2026-06-02,lev_net,-1.8296679128528368,-1,-0.007372041104846239,-0.029703822865172258,-0.029321463841534556
KOSPI200,2026-06-01,basis_bp,2.676844668439004,1,0.005228907572629726,-0.07349758198741352,-0.07608346250830411
KOSPI200,2026-06-01,iv_skew_25d,-2.5611869485979404,-1,0.005228907572629726,-0.07349758198741352,-0.07608346250830411
KOSPI200,2026-05-29,iv_skew_25d,1.79172401395278,1,0.042515005734201194,0.027360331243204694,-0.11638194247926004
KOSPI200,2026-05-28,iv_skew_25d,1.6181883225211924,1,0.03887603766140324,0.08870699459216924,0.0034427535839451906
KOSPI200,2026-05-27,iv_skew_25d,1.6514031570372407,1,-0.00484270822105537,0.07779899296306003,0.06213140754199831
NDX,2026-05-27,lev_net,-1.5372975401846194,-1,0.008351367884779748,0.018025515708239848,0.019939897571219722
KOSPI200,2026-05-26,iv_skew_25d,1.5555584017081234,1,0.03040784431945287,0.06528206389375901,0.1163796180971497
NDX,2026-05-26,lev_net,-1.5614476161897144,-1,-0.0009249592921561911,0.011061492345779467,0.02197500943317854
NDX,2026-05-22,asset_mgr_net,1.5275669777315617,1,0.017627230930266524,0.025176685702171575,0.03501225603858327
KOSPI200,2026-05-21,asset_mgr_net,1.8040119084376447,1,0.0006611057605980797,0.060103491617831795,0.09598276227942737
KOSPI200,2026-05-21,iv_skew_25d,-2.057206228624588,-1,0.0006611057605980797,0.060103491617831795,0.09598276227942737
NDX,2026-05-21,asset_mgr_net,1.5881254301799077,1,0.00423646666518529,0.02099312337593129,0.03324253828208268
KOSPI200,2026-05-20,iv_skew_25d,-2.838138335680759,-1,0.08859094988049865,0.11996339437232906,0.1484304892892998
NDX,2026-05-20,asset_mgr_net,1.6534428953161155,1,0.002033276130498196,0.024016257675950614,0.03161311061782124
KOSPI200,2026-05-19,iv_skew_25d,-1.860620825151665,-1,-0.006101976298546585,0.08266367602126401,0.14697726991752158
KOSPI200,2026-05-19,lev_net,-1.9000077347961328,-1,-0.006101976298546585,0.08266367602126401,0.14697726991752158
NDX,2026-05-19,asset_mgr_net,1.7242789198213777,1,0.016616191963183757,0.02299887104559284,0.04006859661980555
KOSPI200,2026-05-18,iv_skew_25d,-2.3261036248477494,-1,-0.03319388713395366,0.04603432084009218,0.07618031247332024
NDX,2026-05-18,asset_mgr_net,1.6235101321123202,1,-0.00605390984793186,0.01251623682049785,0.03472919748628445
NDX,2026-05-18,lev_net,-1.6333320763246308,-1,-0.00605390984793186,0.01251623682049785,0.03472919748628445
KOSPI200,2026-05-15,basis_bp,1.8503125472646142,1,0.007665241442200932,-0.03172773337692181,0.05474926659726931
KOSPI200,2026-05-15,lev_net,-1.9828751010819792,-1,0.007665241442200932,-0.03172773337692181,0.05474926659726931
NDX,2026-05-15,asset_mgr_net,1.6831951781488395,1,-0.004491989124001394,0.005922706269042344,0.012238247833873395
NDX,2026-05-15,lev_net,-1.660750383816354,-1,-0.004491989124001394,0.005922706269042344,0.012238247833873395
SPX,2026-05-15,asset_mgr_net,1.5419012878298737,1,-0.0007356678561787344,0.0033029918126139535,0.00876968547529855
KOSPI200,2026-05-14,iv_skew_25d,1.738963139577321,1,-0.06497904550463729,-0.08908677011189137,-0.014438894117457801
